 x,y,z,P,u,v,w,V
  0.2258,   0.4516,   0.0000,   0.0506,  0.18279, -0.02504,  0.00000,  0.18450
  0.2258,   0.4839,   0.0000,   0.0512,  0.18459, -0.00837,  0.00000,  0.18478
  0.2258,   0.5161,   0.0000,   0.0512,  0.18459,  0.00837,  0.00000,  0.18478
  0.2258,   0.5484,   0.0000,   0.0506,  0.18279,  0.02504,  0.00000,  0.18450
  0.2258,   0.5806,   0.0000,   0.0493,  0.17932,  0.04153,  0.00000,  0.18406
  0.2258,   0.6129,   0.0000,   0.0474,  0.17425,  0.05771,  0.00000,  0.18356
  0.2258,   0.6452,   0.0000,   0.0448,  0.16766,  0.07344,  0.00000,  0.18304
  0.2258,   0.6774,   0.0000,   0.0417,  0.15962,  0.08859,  0.00000,  0.18255
  0.2258,   0.7097,   0.0000,   0.0382,  0.15018,  0.10299,  0.00000,  0.18210
  0.2258,   0.7419,   0.0000,   0.0344,  0.13941,  0.11649,  0.00000,  0.18167
  0.2258,   0.7742,   0.0000,   0.0303,  0.12738,  0.12895,  0.00000,  0.18126
  0.2258,   0.8065,   0.0000,   0.0262,  0.11415,  0.14021,  0.00000,  0.18080
  0.2258,   0.8387,   0.0000,   0.0220,  0.09976,  0.15012,  0.00000,  0.18024
  0.2258,   0.8710,   0.0000,   0.0181,  0.08416,  0.15854,  0.00000,  0.17949
  0.2258,   0.9032,   0.0000,   0.0145,  0.06717,  0.16533,  0.00000,  0.17845
  0.2258,   0.9355,   0.0000,   0.0113,  0.04831,  0.17035,  0.00000,  0.17707
  0.2258,   0.9677,   0.0000,   0.0086,  0.02657,  0.17348,  0.00000,  0.17550
  0.2258,   1.0000,   0.0000,   0.0074,  0.00000,  0.17456,  0.00000,  0.17456
  0.2581,   0.0000,   0.0000,   0.0096,  0.00000, -0.19121,  0.00000,  0.19121
  0.2581,   0.0323,   0.0000,   0.0108,  0.02428, -0.18990,  0.00000,  0.19144
  0.2581,   0.0645,   0.0000,   0.0136,  0.04393, -0.18628,  0.00000,  0.19139
  0.2581,   0.0968,   0.0000,   0.0168,  0.06089, -0.18062,  0.00000,  0.19060
  0.2581,   0.1290,   0.0000,   0.0205,  0.07614, -0.17308,  0.00000,  0.18909
  0.2581,   0.1613,   0.0000,   0.0244,  0.09013, -0.16384,  0.00000,  0.18699
  0.2581,   0.1935,   0.0000,   0.0285,  0.10306, -0.15302,  0.00000,  0.18448
  0.2581,   0.2258,   0.0000,   0.0326,  0.11496, -0.14076,  0.00000,  0.18174
  0.2581,   0.2581,   0.0000,   0.0366,  0.12582, -0.12721,  0.00000,  0.17893
  0.2581,   0.2903,   0.0000,   0.0404,  0.13557, -0.11253,  0.00000,  0.17619
  0.2581,   0.3226,   0.0000,   0.0439,  0.14415, -0.09686,  0.00000,  0.17367
  0.2581,   0.3548,   0.0000,   0.0470,  0.15148, -0.08036,  0.00000,  0.17148
  0.2581,   0.3871,   0.0000,   0.0495,  0.15751, -0.06319,  0.00000,  0.16971
  0.2581,   0.4194,   0.0000,   0.0514,  0.16217, -0.04550,  0.00000,  0.16843
  0.2581,   0.4516,   0.0000,   0.0527,  0.16537, -0.02745,  0.00000,  0.16764
  0.2581,   0.4839,   0.0000,   0.0532,  0.16704, -0.00917,  0.00000,  0.16729
  0.2581,   0.5161,   0.0000,   0.0532,  0.16704,  0.00917,  0.00000,  0.16729
  0.2581,   0.5484,   0.0000,   0.0527,  0.16537,  0.02745,  0.00000,  0.16764
  0.2581,   0.5806,   0.0000,   0.0514,  0.16217,  0.04550,  0.00000,  0.16843
  0.2581,   0.6129,   0.0000,   0.0495,  0.15751,  0.06319,  0.00000,  0.16971
  0.2581,   0.6452,   0.0000,   0.0470,  0.15148,  0.08036,  0.00000,  0.17148
  0.2581,   0.6774,   0.0000,   0.0439,  0.14415,  0.09686,  0.00000,  0.17367
  0.2581,   0.7097,   0.0000,   0.0404,  0.13557,  0.11253,  0.00000,  0.17619
  0.2581,   0.7419,   0.0000,   0.0366,  0.12582,  0.12721,  0.00000,  0.17893
  0.2581,   0.7742,   0.0000,   0.0326,  0.11496,  0.14076,  0.00000,  0.18174
  0.2581,   0.8065,   0.0000,   0.0285,  0.10306,  0.15302,  0.00000,  0.18448
  0.2581,   0.8387,   0.0000,   0.0244,  0.09013,  0.16384,  0.00000,  0.18699
  0.2581,   0.8710,   0.0000,   0.0205,  0.07614,  0.17308,  0.00000,  0.18909
  0.2581,   0.9032,   0.0000,   0.0168,  0.06089,  0.18062,  0.00000,  0.19060
  0.2581,   0.9355,   0.0000,   0.0136,  0.04393,  0.18628,  0.00000,  0.19139
  0.2581,   0.9677,   0.0000,   0.0108,  0.02428,  0.18990,  0.00000,  0.19144
  0.2581,   1.0000,   0.0000,   0.0096,  0.00000,  0.19121,  0.00000,  0.19121
  0.2903,   0.0000,   0.0000,   0.0117,  0.00000, -0.20578,  0.00000,  0.20578
